,Model,Exp.,tas_land,tas_ocean,Warming_rate_at_crossing,tas_at_crossing,Model_short,tas_ratio
0,CanESM5,2xCO2,4.172548403465726,2.9972569228568204,,,CanESM5,1.3921223675041785
0,CanESM5,1pctCO2,4.209798392132427,2.9768268915514113,0.04938255045201683,3.3017371638737245,CanESM5,1.414189855674959
1,CanESM5,1pctCO2,4.173825548811976,2.9757089305364843,0.04625723828626331,3.3017371638737245,CanESM5,1.4026323293856184
2,CanESM5,1pctCO2,4.241238909559968,2.9708381035757156,0.04413714981007242,3.3017371638737245,CanESM5,1.4276237080893743
0,GISS-E2-1-H,2xCO2,2.875185875304169,2.1064158868008462,,,GISS,1.3649659088314723
0,GISS-E2-1-H,1pctCO2,2.923744501750207,2.1112489778389545,0.03697020764367648,2.358505343724403,GISS,1.3848411686351232
0,HadGEM3-GC31-LL,2xCO2,4.08959215380537,3.109634479092165,,,HadGEM3,1.315135968970635
0,HadGEM3-GC31-LL,1pctCO2,4.260182381702407,3.0381360024017567,0.05359059717012424,3.400506032395299,HadGEM3,1.4022355741594774
1,HadGEM3-GC31-LL,1pctCO2,4.276153993816422,3.030533813155216,0.05317257769977366,3.400506032395299,HadGEM3,1.4110233567611437
2,HadGEM3-GC31-LL,1pctCO2,4.28495173008406,3.0422813354588243,0.048585415120377715,3.400506032395299,HadGEM3,1.4084666267190642
3,HadGEM3-GC31-LL,1pctCO2,4.23921933341137,3.0436188106609734,0.05505859686705364,3.400506032395299,HadGEM3,1.3928220309857895
0,IPSL-CM6A-LR,2xCO2,3.6754150390625,2.797149658203125,,,IPSL,1.313985838506606
0,IPSL-CM6A-LR,1pctCO2,3.809932634050142,2.733946830245543,0.04202931833852063,3.06976318359375,IPSL,1.3935650071541303
0,MIROC6,2xCO2,2.2875959595060067,1.4934737444385746,,,MIROC6,1.531728273111328
0,MIROC6,1pctCO2,2.366577118754833,1.5138805496808345,0.03226660614696068,1.8205307855973842,MIROC6,1.5632522125036676
