,Rate,co2mass,Scenario,Ensemble_member,Crossing_year_1.5,Order
0,0.04050213416162435,1058738382446446.8,ssp119,r1i1p1f2,2023.695000442399,1
1,0.034760011100373404,1086816968319570.1,ssp119,r2i1p1f2,2025.5038959423343,1
2,0.04145779530288411,1051398094238873.9,ssp119,r3i1p1f2,2023.24254621866,1
3,0.06266286601275266,1052098595531485.0,ssp119,r4i1p1f2,2023.2857250094123,1
4,0.046890049403780464,1025538605263497.5,ssp119,r8i1p1f2,2021.7041417920293,1
17,0.04434811013062797,1064733107402768.6,ssp126,r9i1p1f2,2023.2148361938537,2
16,0.04347446469286203,1035294259110871.0,ssp126,r8i1p1f2,2021.724565559656,2
15,0.04848936427030016,1088666009195939.5,ssp126,r4i1p1f2,2024.4329657709889,2
14,0.04333199921084745,1106801063054179.8,ssp126,r3i1p1f2,2025.3661352142954,2
13,0.03927956630690728,1154171703006757.2,ssp126,r2i1p1f2,2027.87831621331,2
12,0.046557960901760884,1065629743084914.5,ssp126,r1i1p1f2,2023.2604527704946,2
11,0.029843225743563698,1114743076698338.5,ssp126,r19i1p1f2,2025.7813469457906,2
10,0.031045878437186702,1066579360293572.0,ssp126,r18i1p1f2,2023.3087647962602,2
9,0.04512285076063477,1020037258090847.6,ssp126,r17i1p1f2,2020.9544171900104,2
8,0.041746305745309346,1066092279668697.8,ssp126,r16i1p1f2,2023.2839844410978,2
7,0.0654205829264397,1080899748741653.0,ssp126,r12i1p1f2,2024.0373646660778,2
6,0.04361018083031662,1112210934832034.4,ssp126,r11i1p1f2,2025.6489655302194,2
5,0.03987380481563109,1019418161478452.5,ssp126,r10i1p1f2,2020.9231833704841,2
41,0.04795918965223697,1016527080677886.6,ssp434,r8i1p1f2,2020.847745343209,3
40,0.05927251644445675,1065741851292661.0,ssp434,r4i1p1f2,2023.3496893371853,3
39,0.03544616474396456,1084776328848080.9,ssp434,r3i1p1f2,2024.3208631947434,3
38,0.04861669372924645,1069200758701103.9,ssp434,r2i1p1f2,2023.5262034645102,3
37,0.055638176332581,1075236367727827.1,ssp434,r1i1p1f2,2023.8342112063845,3
23,0.05702930597213299,1094296519686546.8,ssp245,r13i1p1f2,2023.9504846495909,4
18,0.04502907964494935,1080451743622127.0,ssp245,r1i1p1f2,2023.3369445106925,4
19,0.06124862566271669,1094855560881004.6,ssp245,r2i1p1f2,2023.9752589189977,4
20,0.037270782740717386,1073707242530973.5,ssp245,r3i1p1f2,2023.0380576152302,4
21,0.05149165027989505,1107790553388409.0,ssp245,r4i1p1f2,2024.538595620679,4
22,0.04280008334259755,1027977491069472.5,ssp245,r8i1p1f2,2020.9691266001146,4
24,0.0471621563099552,1090286483526682.1,ssp370,r10i1p1f2,2022.8198106686823,5
36,0.05093476666966639,1144530979788894.2,ssp370,r9i1p1f2,2024.8538427289886,5
34,0.047674388958748266,1112001701063623.8,ssp370,r4i1p1f2,2023.647344740217,5
33,0.03967690773731402,1123735250973410.5,ssp370,r3i1p1f2,2024.0892441025817,5
35,0.03827688112851039,1076239449807014.9,ssp370,r8i1p1f2,2022.2734083443986,5
31,0.05337884343977106,1084674882034092.4,ssp370,r1i1p1f2,2022.6015302715753,5
30,0.04782777160168704,1141736259213024.0,ssp370,r19i1p1f2,2024.7510889600555,5
29,0.0400706127904391,1041581276608602.6,ssp370,r18i1p1f2,2020.8929925307066,5
28,0.045721167866073796,1038781960829391.8,ssp370,r17i1p1f2,2020.778038476831,5
27,0.03861863388959482,1116692851815333.1,ssp370,r16i1p1f2,2023.8251129849027,5
26,0.06400866062275112,1126460962672168.5,ssp370,r12i1p1f2,2024.1894606152773,5
25,0.04825190007712424,1170972609495956.0,ssp370,r11i1p1f2,2025.8145804159424,5
32,0.05077023524970616,1190232698419529.5,ssp370,r2i1p1f2,2026.4990324402368,5
45,0.06823755917306817,1106343957438235.0,ssp585,r4i1p1f2,2023.4481062711195,6
42,0.05944275049241835,1096537874907385.5,ssp585,r1i1p1f2,2023.0843584344275,6
43,0.05256096543845802,1154981878945607.2,ssp585,r2i1p1f2,2025.2024076701066,6
44,0.04543975955733306,1095876396398312.4,ssp585,r3i1p1f2,2023.0598214823942,6
46,0.04380536812827669,1051483479522402.9,ssp585,r8i1p1f2,2021.3404408708186,6
